Symbol,Date,Open,High,Low,Close,Vol
UPPER,2020-03-22.csv,230,230,225,227,"2,893"
ADBL,2020-03-22.csv,369,376,362,368,"5,639"
AHPC,2020-03-22.csv,93,93,93,93,190
AKPL,2020-03-22.csv,111,112,111,112,110
ALBSL,2020-03-22.csv,612,618,588,618,851
ALICL,2020-03-22.csv,494,494,455,492,"3,443"
API,2020-03-22.csv,106,116,104,116,"2,980"
BFC,2020-03-22.csv,95,95,95,95,50
BOKL,2020-03-22.csv,219,226,213,218,"10,899"
BPCL,2020-03-22.csv,321,330,320,330,"1,300"
CBBL,2020-03-22.csv,946,955,933,955,860
CBL,2020-03-22.csv,138,140,138,138,"1,836"
CCBL,2020-03-22.csv,165,168,159,159,"4,416"
CFCL,2020-03-22.csv,112,122,112,122,"1,275"
CHCL,2020-03-22.csv,379,386,358,368,"2,509"
CIT,2020-03-22.csv,2513,2513,2421,2440,"1,394"
CLBSL,2020-03-22.csv,1003,1063,1003,1042,70
CZBIL,2020-03-22.csv,183,184,180,180,"3,796"
DDBL,2020-03-22.csv,775,775,745,759,120
EBL,2020-03-22.csv,618,620,606,612,"5,866"
EIC,2020-03-22.csv,334,345,334,345,"1,630"
FMDBL,2020-03-22.csv,431,431,415,415,"3,240"
FOWAD,2020-03-22.csv,1407,1407,1378,1380,"1,187"
GBBL,2020-03-22.csv,218,220,214,220,629
GBIME,2020-03-22.csv,258,260,248,248,"20,871"
GBLBS,2020-03-22.csv,422,422,396,404,"2,210"
GFCL,2020-03-22.csv,136,136,136,136,50
GGBSL,2020-03-22.csv,705,705,705,705,10
GILB,2020-03-22.csv,1116,1136,1115,1115,176
GLICL,2020-03-22.csv,389,415,389,403,550
GMFBS,2020-03-22.csv,755,755,753,753,120
GMFIL,2020-03-22.csv,126,126,116,116,60
HBL,2020-03-22.csv,510,510,500,500,"1,158"
HDHPC,2020-03-22.csv,84,84,82,82,220
HDL,2020-03-22.csv,1327,1328,1275,1280,"11,330"
HGI,2020-03-22.csv,335,335,323,335,"1,190"
HIDCL,2020-03-22.csv,128,130,126,129,"1,200"
ICFC,2020-03-22.csv,169,169,169,169,110
ILBS,2020-03-22.csv,667,667,655,655,50
JBBL,2020-03-22.csv,167,167,166,166,322
JSLBB,2020-03-22.csv,1757,1893,1757,1890,"1,064"
KBL,2020-03-22.csv,184,184,176,177,"13,858"
KMCDB,2020-03-22.csv,751,760,738,738,348
KPCL,2020-03-22.csv,102,108,100,108,430
KSBBL,2020-03-22.csv,155,155,152,152,200
LBBL,2020-03-22.csv,175,178,175,178,"2,919"
LBL,2020-03-22.csv,205,205,200,200,"8,637"
LGIL,2020-03-22.csv,395,410,395,396,990
LICN,2020-03-22.csv,1203,1203,1137,1137,"3,336"
LLBS,2020-03-22.csv,956,956,956,956,100
MBL,2020-03-22.csv,223,223,215,215,"6,232"
MEGA,2020-03-22.csv,202,214,198,214,"9,911"
MERO,2020-03-22.csv,539,560,539,540,800
MFIL,2020-03-22.csv,247,256,239,250,340
MLBBL,2020-03-22.csv,604,604,604,604,100
MLBL,2020-03-22.csv,194,197,194,197,"2,041"
MNBBL,2020-03-22.csv,303,304,291,296,"6,992"
MPFL,2020-03-22.csv,119,119,118,119,226
NABIL,2020-03-22.csv,744,744,700,701,"15,101"
NADEP,2020-03-22.csv,560,560,534,534,"1,604"
NBB,2020-03-22.csv,202,203,194,197,"2,912"
NBL,2020-03-22.csv,260,266,251,251,"20,983"
NCCB,2020-03-22.csv,187,187,176,178,"8,372"
NGPL,2020-03-22.csv,105,105,105,105,500
NHPC,2020-03-22.csv,51,53,51,53,460
NIB,2020-03-22.csv,380,380,370,373,"2,600"
NIBPO,2020-03-22.csv,342,342,324,324,"4,014"
NICA,2020-03-22.csv,500,510,488,496,"22,489"
NICAP,2020-03-22.csv,250,250,250,250,"34,555"
NICL,2020-03-22.csv,343,347,329,347,"3,286"
NIL,2020-03-22.csv,477,494,476,485,236
NLBBL,2020-03-22.csv,661,661,661,661,49
NLG,2020-03-22.csv,535,545,535,545,65
NLIC,2020-03-22.csv,1039,1079,999,1054,"27,607"
NLICL,2020-03-22.csv,595,595,559,559,"2,907"
NMB,2020-03-22.csv,384,393,375,377,"51,747"
NMBMF,2020-03-22.csv,784,784,755,755,"4,295"
NSEWA,2020-03-22.csv,602,602,580,580,50
NTC,2020-03-22.csv,622,632,610,623,275
OHL,2020-03-22.csv,339,339,339,339,500
PCBL,2020-03-22.csv,261,261,249,252,"33,352"
PFL,2020-03-22.csv,153,153,153,153,17
PIC,2020-03-22.csv,489,489,489,489,25
PICL,2020-03-22.csv,397,428,397,404,330
PLIC,2020-03-22.csv,510,515,490,499,"4,996"
PRIN,2020-03-22.csv,360,360,350,360,730
PROFL,2020-03-22.csv,102,102,102,102,10
PRVU,2020-03-22.csv,230,234,220,225,"11,659"
RADHI,2020-03-22.csv,175,175,175,175,11
RBCLPO,2020-03-22.csv,7301,7447,7301,7447,20
RHPC,2020-03-22.csv,80,80,77,78,"3,050"
RHPL,2020-03-22.csv,154,154,151,153,"10,240"
RLFL,2020-03-22.csv,130,130,130,130,10
RMDC,2020-03-22.csv,605,605,590,590,"1,593"
RSDC,2020-03-22.csv,448,456,441,441,256
SABSL,2020-03-22.csv,709,709,709,709,11
SADBL,2020-03-22.csv,144,144,143,143,"1,079"
SANIMA,2020-03-22.csv,326,332,317,324,"11,110"
SBI,2020-03-22.csv,412,420,412,412,570
SBL,2020-03-22.csv,297,297,286,289,"11,987"
SCB,2020-03-22.csv,595,595,583,590,"4,563"
SDESI,2020-03-22.csv,775,775,775,775,99
SHINE,2020-03-22.csv,256,256,255,255,"1,770"
SHIVM,2020-03-22.csv,504,504,485,487,"6,300"
SHL,2020-03-22.csv,161,169,161,166,600
SHPC,2020-03-22.csv,200,200,198,198,600
SICL,2020-03-22.csv,845,846,830,845,410
SIFC,2020-03-22.csv,141,141,141,141,500
SIL,2020-03-22.csv,460,460,460,460,40
SINDU,2020-03-22.csv,129,131,125,125,"1,772"
SJCL,2020-03-22.csv,142,142,141,141,500
SKBBL,2020-03-22.csv,984,1023,975,990,"1,727"
SLBBL,2020-03-22.csv,775,775,760,774,550
SLICL,2020-03-22.csv,365,399,365,377,"2,270"
SMB,2020-03-22.csv,768,784,768,784,30
SPARS,2020-03-22.csv,700,700,693,693,76
SRBL,2020-03-22.csv,236,236,230,233,"4,902"
STC,2020-03-22.csv,2393,2400,2392,2400,80
TRH,2020-03-22.csv,206,206,202,206,"1,575"
UIC,2020-03-22.csv,313,313,301,307,636
UMHL,2020-03-22.csv,100,100,100,100,519
UPCL,2020-03-22.csv,73,73,73,73,10
