variable,Temperature,sea_pressure,Precipitation,Cloud,Sunshine,Radiation,Wind,WDirection
20200809T0000,21.6208,1003.5,0,100,0,0,1.332,216.8699
20200809T0100,21.6408,1003.4,0,100,0,0,1.4346079,248.1986
20200809T0200,21.5908,1002.9,0,100,0,0,1.8648,270
20200809T0300,21.5408,1002.3,0,100,0,0,2.4560864,282.5288
20200809T0400,21.5208,1002.2,0,100,0,0,2.5132127,302.00537
20200809T0500,21.4308,1002.1,0,100,0,0,2.5132127,327.99463
20200809T0600,21.3708,1002.3,0,100,0,15.13,2.1967907,345.96375
20200809T0700,21.2308,1002.7,0.7,100,0,37.38,1.6848617,341.56506
20200809T0800,21.0908,1003.3,2.2,100,0,43.61,1.332,323.13013
20200809T0900,21.0208,1003.6,4,100,0,37.38,1.9210378,303.69006
20200809T1000,20.9708,1003.3,4.2,100,0,48.059998,1.4346079,291.8014
20200809T1100,20.8908,1003.2,3.2,100,0,57.85,0.79920006,270
20200809T1200,20.9308,1003,2.3,100,0,64.97,0.2664,360
20200809T1300,21.3508,1002.6,1,100,0,87.22,1.0656,89.99999
20200809T1400,22.2308,1001.5,0,100,0,125.49,2.5272923,108.434944
20200809T1500,23.5208,1000.5,0,100,0,200.25,3.9603205,132.27368
20200809T1600,24.9908,1000,0,7,55.531918,417.41,4.336678,137.48955
20200809T1700,23.1908,1002.2,0.9,100,0,111.25,2.8692157,248.1986
20200809T1800,22.5508,1002.9,1.5,100,0,20.47,2.028842,246.8014
20200809T1900,22.3108,1003.8,1.9,100,0,0,0.9605189,236.30994
20200809T2000,22.170801,1004.5,1.1,100,0,0,0.79920006,270
20200809T2100,21.9808,1005,0.2,100,0,0,0.5956885,296.56506
20200809T2200,21.7208,1004.7,0.3,100,0,0,1.6848617,341.56506
20200809T2300,21.4008,1004.6,0.6,100,0,0,2.7167575,348.69006
20200810T0000,21.0608,1004.5,1.4,100,0,0,3.3697233,341.56506
20200810T0100,20.7208,1004.4,4.1,100,0,0,4.212154,341.56506
20200810T0200,20.2708,1004.1,6.8,100,0,0,4.912173,347.4712
20200810T0300,19.750801,1003.9,7.6,100,0,0,5.089565,353.991
20200810T0400,19.3608,1004.2,5.8,100,0,0,4.270717,3.5763245
20200810T0500,19.2208,1004.3,2.9,100,0,0,2.9784427,26.565033
